-1.0,1.0,-1.0,1.0,0.678489,0.863742,0.189503,
1.0,1.0,1.0,1.0,0.157851,0.683765,0.501686,
1.0,1.0,-1.0,1.0,0.157851,0.683765,0.501686,
1.0,1.0,1.0,1.0,0.157851,0.683765,0.501686,
-1.0,-1.0,1.0,1.0,0.278826,0.17549,0.483397,
1.0,-1.0,1.0,1.0,0.172719,0.448791,0.557885,
-1.0,1.0,1.0,1.0,0.678489,0.863742,0.189503,
-1.0,-1.0,-1.0,1.0,0.278826,0.17549,0.483397,
-1.0,-1.0,1.0,1.0,0.278826,0.17549,0.483397,
1.0,-1.0,-1.0,1.0,0.172719,0.448791,0.557885,
-1.0,-1.0,1.0,1.0,0.278826,0.17549,0.483397,
-1.0,-1.0,-1.0,1.0,0.278826,0.17549,0.483397,
1.0,1.0,-1.0,1.0,0.157851,0.683765,0.501686,
1.0,-1.0,1.0,1.0,0.172719,0.448791,0.557885,
1.0,-1.0,-1.0,1.0,0.172719,0.448791,0.557885,
-1.0,1.0,-1.0,1.0,0.678489,0.863742,0.189503,
1.0,-1.0,-1.0,1.0,0.172719,0.448791,0.557885,
-1.0,-1.0,-1.0,1.0,0.278826,0.17549,0.483397,
-1.0,1.0,-1.0,1.0,0.678489,0.863742,0.189503,
-1.0,1.0,1.0,1.0,0.678489,0.863742,0.189503,
1.0,1.0,1.0,1.0,0.157851,0.683765,0.501686,
1.0,1.0,1.0,1.0,0.157851,0.683765,0.501686,
-1.0,1.0,1.0,1.0,0.678489,0.863742,0.189503,
-1.0,-1.0,1.0,1.0,0.278826,0.17549,0.483397,
-1.0,1.0,1.0,1.0,0.678489,0.863742,0.189503,
-1.0,1.0,-1.0,1.0,0.678489,0.863742,0.189503,
-1.0,-1.0,-1.0,1.0,0.278826,0.17549,0.483397,
1.0,-1.0,-1.0,1.0,0.172719,0.448791,0.557885,
1.0,-1.0,1.0,1.0,0.172719,0.448791,0.557885,
-1.0,-1.0,1.0,1.0,0.278826,0.17549,0.483397,
1.0,1.0,-1.0,1.0,0.157851,0.683765,0.501686,
1.0,1.0,1.0,1.0,0.157851,0.683765,0.501686,
1.0,-1.0,1.0,1.0,0.172719,0.448791,0.557885,
-1.0,1.0,-1.0,1.0,0.678489,0.863742,0.189503,
1.0,1.0,-1.0,1.0,0.157851,0.683765,0.501686,
1.0,-1.0,-1.0,1.0,0.172719,0.448791,0.557885
